State,Value added to the state's economy by the arts B,Arts' value-added as a share of the state's economy,Arts worker compensation B,Number of arts-related workers
Alabama,$4.80 ,2.10%,$2.60 ,"42,040"
Alaska,$1.30 ,2.60%,$1.10 ,"10,621"
Arizona,$9.6,2.60%,$5.60 ,"79,005"
Arkansas,$2.8,2.20%,$1.70 ,"30,956"
California,$225,7.50%,$108.70 ,"681,211"
Colorado,$14.4,3.80%,$8.70 ,"97,408"
Connecticut,$8.9,3.20%,$5.10 ,"49,159"
Delaware,$0.9,1.10%,$0.50 ,"7,357"
District of Columbia,$11.9,8.20%,$8.20 ,"53,141"
Florida,$32.5,2.90%,$17.50 ,"233,088"
Georgia,$23.8,3.80%,$11.40 ,"134,217"
Hawaii,$2.6,3.10%,$1.40 ,"17,941"
Idaho,$1.9,2.20%,$1.10 ,"19,113"
Illinois,$26.6,3.10%,$15.40 ,"190,078"
Indiana,$7.6,2.00%,$4.60 ,"78,328"
Iowa,$4.2,2.10%,$2.40 ,"38,110"
Kansas,$4.2,2.40%,$2.70 ,"41,280"
Kentucky,$5.6,2.60%,$2.80 ,"46,652"
Louisiana,$5.5,2.30%,$2.80 ,"45,875"
Maine,$1.6,2.30%,$0.90 ,"14,866"
Maryland,$10.2,2.50%,$6.10 ,"68,265"
Massachusetts,$23.7,4.10%,$13.60 ,"125,091"
Michigan,$13.4,2.60%,$7.80 ,"106,003"
Minnesota,$10.9,2.90%,$6.40 ,"81,845"
Mississippi,$2.1,1.80%,$1.20 ,"22,641"
Missouri,$9.5,2.90%,$5.40 ,"84,060"
Montana,$1.8,3.40%,$1 ,"15,230"
Nebraska,$3,2.20%,$1.80 ,"26,888"
Nevada,$8.1,4.70%,$3 ,"37,043"
New Hampshire,$2.9,3.30%,$1.70 ,"20,293"
New Jersey,$20.8,3.40%,$11.70 ,"119,619"
New Mexico,$2.6,2.60%,$1.40 ,"21,523"
New York,$126.7,7.30%,$53.40 ,"435,693"
North Carolina,$16.5,2.80%,$8.80 ,"115,891"
North Dakota,$1.3,2.40%,$0.80 ,"12,025"
Ohio,$21.2,3.10%,$9.90 ,"152,579"
Oklahoma,$4.1,2.20%,$2.40 ,"38,991"
Oregon,$8,3.30%,$4.80 ,"60,994"
Pennsylvania,$25.7,3.30%,$13 ,"156,980"
Rhode Island,$1.9,3.20%,$1.10 ,"15,723"
South Carolina,$5.9,2.40%,$3.20 ,"49,984"
South Dakota,$1.1,2.10%,$0.70 ,"12,768"
Tennessee,$11.9,3.20%,$5.90 ,"81,490"
Texas,$49.2,2.80%,$26.20 ,"350,555"
Utah,$6.8,3.50%,$4 ,"60,729"
Vermont,$1,2.90%,$0.60 ,"9,706"
Virginia,$16.2,2.90%,$8.70 ,"109,962"
Washington,$62.4,10.30%,$28.90 ,"180,262"
West Virginia,$1.3,1.70%,$0.80 ,"13,865"
Wisconsin,$9.6,2.80%,$5.70 ,"83,166"
Wyoming,$1,2.90%,$0.80 ,"10,670"
